,區號名
98,(0255)城中段二小段
99,(0256)城中段三小段
100,(0019)福和段一小段
101,(0020)福和段二小段
102,(0231)臨沂段一小段
103,(0232)臨沂段二小段
104,(0233)臨沂段三小段
105,(0234)臨沂段四小段
106,(0935)八仙段一小段
107,(0936)八仙段二小段
108,(1014)三合段
109,(0904)大業段一小段
110,(0905)大業段二小段
111,(0906)大業段三小段
112,(0907)大業段四小段
113,(0952)大業段五小段
114,(0987)大屯段一小段
115,(0988)大屯段二小段
116,(0989)大屯段三小段
117,(0990)大屯段四小段
118,(0887)文林段一小段
119,(0888)文林段二小段
120,(0889)文林段三小段
121,(0890)文林段四小段
122,(0891)文林段五小段
123,(0892)立農段一小段
124,(0893)立農段二小段
125,(0894)立農段三小段
126,(0895)立農段四小段
127,(0896)立農段五小段
128,(0975)行義段一小段
129,(0976)行義段二小段
130,(0977)行義段三小段
131,(0978)行義段四小段
132,(0929)秀山段一小段
133,(0930)秀山段二小段
134,(0931)秀山段三小段
135,(0912)奇岩段一小段
136,(0913)奇岩段二小段
137,(0914)奇岩段三小段
138,(0915)奇岩段四小段
139,(0916)奇岩段五小段
140,(1012)奇岩段六小段
141,(0983)泉源段一小段
142,(0984)泉源段二小段
143,(0985)泉源段三小段
144,(0986)泉源段四小段
145,(0941)洲美段一小段
146,(0942)洲美段二小段
147,(0883)振興段一小段
148,(0884)振興段二小段
149,(0885)振興段三小段
150,(0886)振興段四小段
151,(0926)桃源段一小段
152,(0927)桃源段二小段
153,(0928)桃源段三小段
154,(1000)桃源段四小段
155,(1001)桃源段五小段
156,(0979)崇仰段一小段
157,(0980)崇仰段二小段
158,(0981)崇仰段三小段
159,(0982)崇仰段四小段
160,(1016)軟橋段
161,(0918)頂北投段山腳小段
162,(0991)湖山段一小段
163,(0992)湖山段二小段
164,(0993)湖山段三小段
165,(0994)湖田段一小段
166,(0995)湖田段二小段
167,(0901)開明段一小段
168,(0902)開明段二小段
169,(0903)開明段三小段
170,(0897)新民段一小段
171,(0898)新民段二小段
172,(0899)新民段三小段
173,(0900)新民段四小段
174,(1015)新洲美段
175,(0908)溫泉段一小段
176,(0909)溫泉段二小段
177,(0910)溫泉段三小段
178,(0911)溫泉段四小段
179,(0937)豐年段一小段
180,(0938)豐年段二小段
181,(0939)豐年段三小段
182,(0940)豐年段四小段
183,(0932)關渡段一小段
184,(0933)關渡段二小段
185,(0934)關渡段三小段
186,(0922)唭哩岸段
187,(0624)三興段一小段
188,(0625)三興段二小段
189,(0626)三興段三小段
190,(0627)永春段一小段
191,(0628)永春段二小段
192,(0629)永春段三小段
193,(0630)永吉段一小段
194,(0631)永吉段二小段
195,(0632)永吉段三小段
196,(0633)永吉段四小段
197,(0638)吳興段一小段
198,(0639)吳興段二小段
199,(0640)吳興段三小段
200,(0634)虎林段一小段
201,(0636)虎林段三小段
202,(0637)虎林段四小段
203,(0703)虎林段五小段
204,(0641)信義段一小段
205,(0642)信義段二小段
206,(0687)信義段三小段
207,(0688)信義段四小段
208,(0689)信義段五小段
209,(0643)祥和段一小段
210,(0644)祥和段二小段
211,(0645)祥和段三小段
212,(0646)祥和段四小段
213,(0618)逸仙段二小段
214,(0619)逸仙段三小段
215,(0647)雅祥段一小段
216,(0648)雅祥段二小段
217,(0649)雅祥段三小段
218,(0650)雅祥段四小段
219,(0651)福德段一小段
220,(0652)福德段二小段
221,(0653)福德段三小段
222,(0654)福德段四小段
223,(0707)犂和段一小段
224,(0708)犂和段二小段
225,(0709)犂和段三小段
226,(0710)犂和段四小段
227,(2225)中興段
228,(0352)五股坑段五股坑小段
229,(0413)五工段
230,(2220)五股段
231,(2242)五股坑一段
232,(2243)五股坑二段
233,(2244)五股坑三段
234,(0355)水碓段水碓小段
235,(0357)水碓段塭底小段
236,(0358)石土地公段石土地公小段
237,(0425)石德段
238,(0493)成功段
239,(2208)成州段
240,(2222)成蘆段
241,(2223)成福段
242,(2224)成泰段
243,(2239)成子寮段
244,(0361)更寮段更寮小段
245,(0362)更寮段褒子寮小段
246,(0363)更寮段洲子尾小段
247,(0364)更寮段鴨母港小段
248,(0365)更寮段下竹圍小段
249,(0366)更寮段樹林頭小段
250,(0367)更寮段羅古小段
251,(2209)芳洲段
252,(0368)洲子段洲子小段
253,(0492)御史段
254,(2219)陸光段
255,(2218)登林段
256,(0370)新塭段新塭小段
257,(2245)福德段
258,(2217)德音段
259,(2240)觀音東段
260,(2241)觀音西段
261,(0822)大桶山段
262,(0752)小寮段
263,(0831)內洞段
264,(0750)屯鹿段
265,(0794)水源段
266,(0829)西羅岸段
267,(0830)西坑段
268,(0805)東坑段
269,(0832)波露段
270,(0747)信賢段
271,(0827)南勢段
272,(0796)哈盆段
273,(0749)哪哮段
274,(0807)拳頭母段
275,(0823)烏沙段
276,(0809)茶墾段
277,(0808)馬萬段
278,(0811)馬岸段
279,(0751)啦卡段
280,(0804)桶后段
281,(0856)堰堤段
282,(0795)達棒段
283,(0855)嘎佑段
284,(0748)福山段
285,(0806)模古段
286,(0810)檜山段
287,(0828)環山段
288,(0803)羅宏段
289,(0824)羅培段
290,(0825)羅蘭段
291,(1963)二橋段
292,(1977)二甲段
293,(1971)三鶯段
294,(0091)大湖段崁腳小段
295,(0092)大湖段大竹圍小段
296,(0093)大湖段三界公坑小段
297,(0094)大湖段樟普坑小段
298,(0095)大湖段圳子頭坑小段
299,(0097)大湖段中坑小段
300,(1960)工藝段
301,(1905)中山段
302,(1906)中正段
303,(1947)永昌段
304,(1956)永吉段
305,(1961)尖山堆段
306,(1962)尖山腳段
307,(1982)西湖段
308,(1946)昌福段
309,(0103)阿南坑段阿南坑小段
310,(0104)阿南坑段茶山小段
311,(0105)阿南坑段阿四坑小段
312,(1972)南靖段
313,(1907)建國段
314,(1908)國慶段
315,(1945)國姓段
316,(1981)國際段
317,(1944)陶瓷段
318,(9999)測試段一小段
319,(1958)福德段
320,(1952)鳳鳴段
321,(1957)鳳福段
322,(1959)鳳祥段
323,(1955)德昌段
324,(1978)橋子頭一段
325,(1979)橋子頭二段
326,(1980)橋子頭三段
327,(0096)鶯歌段牛灶坑小段
328,(0101)鶯歌段鶯歌小段
329,(1566)下雙溪段下雙溪小段
330,(1567)下雙溪段坑子內小段
331,(1561)大石壁坑段
332,(1534)丹裡段內寮小段
333,(1535)丹裡段文秀坑小段
334,(1536)丹裡段尖山腳小段
335,(1537)丹裡段鹽寮小段
336,(1583)仁里段
337,(1584)仁和段
338,(1539)田寮洋段新社田寮小段
339,(1540)田寮洋段中心崙小段
340,(1541)田寮洋段龜媽坑小段
341,(1543)田寮洋段萊萊小段
342,(1544)田寮洋段卯澳小段
343,(1545)田寮洋段荖蘭小段
344,(1546)田寮洋段入桂小段
345,(1547)田寮洋段荖寮小段
346,(1548)田寮洋段嶐嶐小段
347,(1580)坪溪段
348,(1562)枋腳段
349,(1550)社里段水返港小段
350,(1551)長潭段
351,(1581)真美段
352,(1532)貢寮段內寮小段
353,(1597)朝陽段
354,(1582)新港段
355,(1599)福隆段
356,(1552)遠望坑段遠望坑小段
357,(1553)遠望坑段草嶺頂小段
358,(1554)撈洞段撈洞小段
359,(1555)撈洞段蚊子坑小段
360,(1556)撈洞段南勢坑小段
361,(1557)撈洞段北勢坑小段
362,(1598)龍崗段
363,(1600)舊社段
364,(1563)雞母嶺段巫里岸小段
365,(1564)雞母嶺段雞母嶺小段
366,(1565)雞母嶺段土地公嶺小段
367,(1062)三和段
368,(1063)山城段
369,(0933)中角段大水堀小段
370,(0934)中角段西勢湖小段
371,(1024)中興段
372,(1028)五福段
373,(1064)五湖段
374,(1025)文化段
375,(1048)永興段
376,(1027)金美段
377,(1059)金山一段
378,(1060)金山二段
379,(1061)金山三段
380,(0901)頂中股段三重橋小段
381,(0918)頂角段三界壇小段
382,(0919)頂角段葵扇湖小段
383,(0920)頂角段磺溪頭小段
384,(0922)頂角段馬鞍格小段
385,(0923)頂角段竹子山腳小段
386,(0926)頂角段倒照湖小段
387,(0927)頂角段半嶺子小段
388,(1019)頂角段頂角小段
389,(1065)陽金段
390,(1026)溫泉段
391,(1049)萬西段
392,(1050)聖德段
393,(1215)土地公埔段三板橋小段
394,(1216)土地公埔段大水堀小段
395,(1217)土地公埔段木屐寮小段
396,(1218)土地公埔段五腳松小段
397,(1219)土地公埔段員山子頂小段
398,(1220)土地公埔段芋尾崙小段
399,(1221)土地公埔段內柑宅小段
400,(1222)土地公埔段石曹子坑小段
401,(1223)土地公埔段八連溪頭小段
402,(1224)土地公埔段大湖小段
403,(1225)土地公埔段土地公埔小段
404,(1226)土地公埔段埔尾小段
405,(1351)大湖段
406,(1238)北新庄子段龜子山小段
407,(1239)北新庄子段楓子林小段
408,(1240)北新庄子段店子小段
409,(1241)北新庄子段田心子小段
410,(1242)北新庄子段菜公坑小段
411,(1243)北新庄子段車埕小段
412,(1332)芝柏段
413,(1353)芝蘭段
414,(1333)茂長段
415,(1330)埔頭段
416,(1331)埔坪段
417,(1288)烘爐段
418,(1202)新小基隆段橫山小段
419,(1203)新小基隆段二坪頂小段
420,(1204)新小基隆段大坑小段
421,(1205)新小基隆段新庄子小段
422,(1208)新小基隆段蕃社後小段
423,(1354)榆林段
424,(1352)福海段
425,(1299)箭竹段
426,(1233)錫板段梀板頭小段
427,(1237)錫板段小坑子小段
428,(1227)舊小基隆段舊庄小段
429,(1228)舊小基隆段四棧橋小段
430,(1229)舊小基隆段茂興店小段
431,(1231)舊小基隆段八連溪小段
432,(1285)舊小基隆段山豬堀小段
433,(1246)下角段竹子湖小段
434,(1247)下角段五爪崙小段
435,(1248)下角段石門小段
436,(1249)下角段草埔尾小段
437,(1250)下角段坪林小段
438,(1251)下角段小坑小段
439,(1252)下角段尖子鹿小段
440,(1253)下角段阿里荖小段
441,(1254)下角段阿里磅小段
442,(1244)石門段石門小段
443,(1245)石門段石崩山小段
444,(1259)老梅段老崩山小段
445,(1260)老梅段大溪墘小段
446,(1261)老梅段豬槽潭小段
447,(1262)老梅段九芎林小段
448,(1263)老梅段尖山湖小段
449,(1264)老梅段七股小段
450,(1265)老梅段大丘田小段
451,(1266)老梅段公地小段
452,(1255)頭圍段下員坑小段
453,(1256)頭圍段崁子腳小段
454,(1257)頭圍段八甲小段
455,(1258)頭圍段楓林小段
456,(0606)二重溪段
457,(0616)下陰影窩段
458,(0669)上湖段
459,(0690)上田段
460,(0604)大金山下段大金山下小段
461,(0605)大金山下段月眉山下小段
462,(0694)大平段
463,(0704)仁美段
464,(0711)水美段
465,(0668)四湖段
466,(0705)幼獅段
467,(0672)民富段
468,(0673)民生段
469,(0716)民有段
470,(0717)民豐段
471,(0696)永福段
472,(0699)永寧段
473,(0726)永楊段
474,(0700)田心段
475,(0710)白鶴段
476,(0724)老莊段
477,(0615)伯公岡段
478,(0698)秀才段
479,(0691)和平段
480,(0695)東流段
481,(0725)東寧段
482,(0713)金龍段
483,(0719)長紅段
484,(0720)長岡嶺段
485,(0617)員笨段
486,(0689)員富段
487,(0718)員本段
488,(0600)草湳坡段草湳坡小段
489,(0601)草湳坡段埔心小段
490,(0693)高榮段
491,(0702)高雙段
492,(0707)高上段
493,(0708)高獅段
494,(0709)高山段
495,(0676)國聯段
496,(0697)國寶段
497,(0703)啟明段
498,(0683)梅高段
499,(0722)梅獅段
500,(0729)梅園段
501,(0712)頂湖段
502,(0682)富岡段
503,(0675)新明段
504,(0692)新榮段
505,(0727)新秀段
506,(0730)新富段
507,(0608)楊梅段
508,(0670)楊湖段
509,(0671)楊富段
510,(0714)瑞上段
511,(0715)瑞原段
512,(0721)瑞湖段
513,(0723)瑞坪段
514,(0603)頭重溪段
515,(0674)豐野段
516,(0706)雙榮段
517,(0728)甡甡段
518,(0830)八股段
519,(0846)上興段
520,(0847)上竹段
521,(0029)大竹圍段
522,(0801)大竹段
523,(0802)大新段
524,(0833)大興段
525,(0869)大坑段
526,(0875)大古段
527,(0832)山鼻段
528,(0873)山腳段
529,(0041)中興段
530,(0824)五福段
531,(0831)內興段
532,(0825)六福段
533,(0820)公埔段
534,(0874)公溝段
535,(0841)文新段
536,(0843)文中段
537,(0829)水尾段
538,(0868)出水段
539,(0844)竹中段
540,(0826)羊稠段
541,(0032)坑子段赤塗崎小段
542,(0033)坑子段貓尾崎小段
543,(0034)坑子段土地公坑小段
544,(0035)坑子段頂社小段
545,(0036)坑子外段山腳小段
546,(0037)坑子外段外社小段
547,(0038)坑子外段草子崎小段
548,(0044)坑子口段海湖小段
549,(0045)坑子口段頭前小段
550,(0872)坑口段
551,(0848)宏華段
552,(0849)宏昌段
553,(0850)宏竹段
554,(0827)河底段
555,(0821)長興段
556,(0823)長安段
557,(0030)南崁下段
558,(0039)南崁內厝段內厝小段
559,(0047)南崁廟口段廟口小段
560,(0048)南崁廟口段山鼻子小段
561,(0049)南崁廟口段蕃子厝小段
562,(0050)南崁廟口段羊稠坑小段
563,(0051)南崁廟口段營盤坑小段
564,(0805)南華段
565,(0807)南崁段
566,(0808)南新段
567,(0809)南榮段
568,(0822)南山段
569,(0835)南竹段
570,(0836)南青段
571,(0871)後壁段
572,(0867)海山段
573,(0828)富興段
574,(0837)富宏段
575,(0838)富竹段
576,(0866)富海段
577,(0840)開南段
578,(0031)新庄子段
579,(0043)新興段
580,(0839)新福段
581,(0845)新中段
582,(0864)新鼻段
583,(0042)福興段
584,(0865)福厚段
585,(0842)德林段
586,(0803)錦中段
587,(0804)錦明段
588,(0806)錦興段
589,(0834)蘆興段
590,(1412)下湖段
591,(0134)大同段
592,(1413)大崗段
593,(1432)大埔段
594,(1700)大坑段
595,(1702)大嶺段
596,(0093)山頂段
597,(0152)山德段
598,(0153)山鶯段
599,(0154)山福段
600,(0132)中興段
601,(1410)公西段
602,(1414)公華段
603,(0138)文化段
604,(1706)文青段
605,(0087)牛角坡段垹坡小段
606,(0136)半嶺段
607,(1429)吉祥段
608,(0133)自強段
609,(0196)西嶺段
610,(1447)兔子坑段
611,(0096)坪頂菜公堂段埤寮小段
612,(0098)坪頂下湖段
613,(0102)坪頂大湖段
614,(0193)幸褔段
615,(0192)明興段
616,(0195)東嶺段
617,(0140)油廠段
618,(0118)南崁頂段蕃子窩小段
619,(1424)南美段
620,(1425)南上段
621,(1430)振三段
622,(0194)海萍段
623,(1400)迴龍段
624,(1701)陳厝段
625,(0198)陸光段
626,(1415)頂湖段
627,(1442)善捷段
628,(0188)華亞段
629,(0106)塔寮坑段大坑小段
630,(0107)塔寮坑段坑底小段
631,(1446)塔寮坑段
632,(0092)新路坑段
633,(0121)新路段
634,(0119)楓樹坑段坪頂頂湖小段
635,(0120)楓樹坑段楓樹坑小段
636,(1401)楓樹段
637,(1703)楓壽段
638,(1704)楓義段
639,(1427)煉油段
640,(0135)壽山段
641,(1434)福源段
642,(0197)精忠段
643,(0129)樂善段
644,(1441)樂捷段
645,(1426)蔗園段
646,(0137)興華段
647,(0199)龍華段
648,(1705)龍壽段
649,(0131)龜山段
650,(1443)舊路坑一段
651,(1444)舊路坑二段
652,(1445)舊路坑三段
653,(1411)警大段
654,(1431)體大段
655,(1428)垹坡段
656,(0442)九座寮段
657,(0573)九座段
658,(0574)九龍段
659,(0446)八張犁段
660,(1901)八德段
661,(0450)三角林段
662,(0514)三坑段
663,(0558)三元段
664,(0559)三林段
665,(0486)上林段
666,(0554)上華段
667,(0452)大坪段大坪小段
668,(0453)大坪段二坪小段
669,(0496)大湖段
670,(0512)大平段
671,(0553)干城段
672,(0493)中山段
673,(0543)中興段
674,(0594)中科段
675,(1912)中原段
676,(0494)五福段
677,(0593)文化段
678,(0487)北龍段
679,(0546)北興段
680,(1906)北坑段
681,(0454)四方林段四方林小段
682,(0455)四方林段大湖底小段
683,(1913)打鐵段
684,(0513)民有段
685,(0572)民豐段
686,(0509)永福段
687,(0542)永興段
688,(0476)石門段
689,(0547)成功段
690,(1900)竹龍段
691,(0508)佳安段
692,(1904)和原段
693,(0545)奉慈段
694,(0489)東龍段
695,(0507)林坡段
696,(0544)武漢段
697,(1903)泥橋段
698,(0576)金龍段
699,(0491)南龍段
700,(1905)南坑段
701,(0556)建國段
702,(1902)洽水段
703,(0511)紅橋段
704,(0485)凌雲段
705,(0550)烏林段
706,(0577)高平段
707,(1910)高原段
708,(0575)健行段
709,(0599)梅龍段
710,(0440)淮子埔段
711,(0592)富林段
712,(0495)湖底段
713,(0557)逸園段
714,(0443)黃泥塘段
715,(0484)黃龍段
716,(0492)黃唐段
717,(0548)新烏樹林段
718,(0596)聖德段
719,(0597)聖亭段
720,(0510)碧湖段
721,(1911)福源段
722,(0598)德龍段
723,(0551)潛龍段
724,(0549)燈潭段
725,(0488)龍興段
726,(0490)龍華段
727,(0552)龍祥段
728,(0555)龍吟段
729,(0578)龍源段
730,(0591)雙連段
731,(0272)三座屋段三座屋小段
732,(0273)三座屋段橫圳頂小段
733,(0274)三座屋段新興小段
734,(0264)下青埔段樹子腳小段
735,(0387)下埔頂段
736,(0252)上大堀段
737,(0296)上大段
738,(0266)大潭段大潭小段
739,(0267)大潭段小飯壢小段
740,(0268)大潭段塘背小段
741,(0269)大潭段塘尾小段
742,(0286)大堀段
743,(0340)大同段
744,(0372)大湖段
745,(0308)工業區段一小段
746,(0309)工業區段二小段
747,(0310)工業區段三小段
748,(0311)工業區段四小段
749,(0312)工業區段五小段
750,(0373)中觀段
751,(0393)王厝段
752,(0342)甘泉段
753,(0257)白沙屯段白沙屯小段
754,(0258)白沙屯段下庄子小段
755,(0259)白沙屯段埔頂小段
756,(0400)白玉段
757,(0285)光明段
758,(0391)成功段
759,(0256)坑尾段
760,(0284)育仁段
761,(0338)坡興段
762,(0297)忠愛段
763,(0371)忠富段
764,(0380)忠孝段
765,(0288)金湖段
766,(0349)保潭段
767,(0381)保障段
768,(0270)茄苳坑段對面厝小段
769,(0271)茄苳坑段兩座屋小段
770,(0394)茄苳段
771,(0386)埔頂段
772,(0255)草漯段
773,(0317)草新段
774,(0376)草富段
775,(0392)草豊段
776,(0396)草福段
777,(0251)崙坪段
778,(0382)崙尾段
779,(0295)富源段
780,(0385)富林段
781,(0397)富溪段
782,(0377)塔腳段
783,(0278)新坡段新坡小段
784,(0299)新坡段
785,(0339)新張段
786,(0357)新富段
787,(0375)溪口段
788,(0390)過溪段
789,(0298)廣福段
790,(0341)廣興段
791,(0378)廣大段
792,(0348)潭工段
793,(0395)潭尾段
794,(0275)樹林子段樹林子小段
795,(0276)樹林子段崁頭子小段
796,(0277)樹林子段過溪子小段
797,(0384)樹新段
798,(0389)樹林段
799,(0388)濱海段
800,(0287)藍埔段
801,(0249)觀音段新坡下小段
802,(0343)觀新段
803,(0364)觀塘段
804,(0365)觀玉段
805,(0488)九芎湖段
806,(0457)三聖段
807,(0477)下寮段
808,(0478)下旱坑段
809,(0475)上旱坑段
810,(0479)上寮段
811,(0265)大平窩段
812,(0254)五分埔段水汴頭小段
813,(0460)五埔段
814,(0248)內立段
815,(0400)內思段
816,(0483)太平段
817,(0438)文山段
818,(0440)水車頭段
819,(0267)北打鐵坑段大北坑小段
820,(0482)北平段
821,(0458)巨埔段
822,(0401)正興段
823,(0260)田新段
824,(0249)石頭坑段
825,(0486)石門段
826,(0437)仰德段
827,(0403)成功段
828,(0268)汶水坑段
829,(0404)和平段
830,(0261)枋寮段上枋寮小段
831,(0262)枋寮段下枋寮小段
832,(0246)南打鐵坑段南打鐵坑小段
833,(0247)南打鐵坑段新打坑小段
834,(0480)南平段
835,(0406)泰陽段
836,(0250)犁頭山段犁頭山小段
837,(0251)犁頭山段土地公埔小段
838,(0270)鹿鳴坑段黃梨園小段
839,(0489)鹿鳴坑段
840,(0402)集義段
841,(0461)雲埔段
842,(0484)黃梨園段
843,(0491)新北段
844,(0271)照門段照鏡小段
845,(0272)照門段石門小段
846,(0485)照鏡段
847,(0490)照門段
848,(0379)義民段
849,(0405)福德段
850,(0487)福田段
851,(0439)遠東段
852,(0459)廣興段
853,(0258)樟樹林段三角埔小段
854,(0481)箭竹窩段
855,(0456)霄裡段
856,(0476)燒炭窩段
857,(0455)寶鎮段
858,(0817)上坑段
859,(0425)大埔段
860,(0356)中崙段
861,(0410)文昌段
862,(0428)永寧段
863,(0814)池和段
864,(0359)坑子口段
865,(0416)坪頂段
866,(0423)忠信段
867,(0415)明新段
868,(0818)松柏段
869,(0831)松柏二段
870,(0351)青埔子段
871,(0352)後湖段埔頂小段
872,(0353)後湖段埔和小段
873,(0354)後湖段坡子頭小段
874,(0391)紅毛段
875,(0426)重興段
876,(0833)重興二段
877,(0358)員山段
878,(0819)員興段
879,(0832)員興二段
880,(0835)埔和段
881,(0355)崁頭段
882,(0427)振興段
883,(0413)泰安段
884,(0414)泰豐段
885,(0347)新豐段
886,(0357)新庄子段
887,(0383)瑞興段
888,(0830)瑞光段
889,(0411)榮豐段
890,(0424)榮華段
891,(0348)福興段員山子小段
892,(0349)福興段後湖子小段
893,(0350)福興段十一股小段
894,(0417)福陽段
895,(0816)鳳坑段
896,(0412)錦安段
897,(0815)濱海段
898,(0813)豐褔段
899,(0812)褔龍段
900,(0604)十二寮段十二寮小段
901,(0605)十二寮段十寮坑小段
902,(1004)十二寮段
903,(0795)三峰段
904,(0593)中興段中興小段
905,(0594)中興段四分子小段
906,(1002)中盛段
907,(0797)水流東段
908,(0596)石井段梯子桄小段
909,(0597)石硬子段石硬子小段
910,(0598)石硬子段社寮坑小段
911,(0798)石井段
912,(0608)赤柯坪段十四寮小段
913,(0609)赤柯坪段十五寮小段
914,(1005)赤柯坪段
915,(1006)赤柯山段
916,(0749)星尾段
917,(0591)峨眉段峨眉小段
918,(0592)峨眉段河背小段
919,(1003)峨眉段
920,(0601)富興段富興小段
921,(0603)富興段西河排小段
922,(0796)富農段
923,(0799)富興段
924,(1000)湖光段
925,(0659)興眉段
926,(0599)藤坪段藤坪小段
927,(0600)藤坪段六寮小段
928,(0132)九湖段
929,(0630)九湖北段
930,(0631)九湖南段
931,(0647)中興段
932,(0627)天神段
933,(0133)竹圍段
934,(0634)竹森段
935,(0131)老雞隆段
936,(0604)西田洋段
937,(0625)西崗段
938,(0608)東田洋段
939,(0628)東崗段
940,(0626)客屬段
941,(0603)朝西段
942,(0605)朝東段
943,(0606)朝陽段
944,(0130)新雞隆段
945,(0624)福安段
946,(0124)銅鑼段
947,(0134)銅鑼段銅鑼工業區小段
948,(0629)銅科段
949,(0621)樟樹東段
950,(0622)樟樹西段
951,(0623)樟樹段
952,(0609)雙峰段
953,(0646)雙峰山段
954,(0128)芎蕉灣段
955,(0607)褔興段
956,(0142)二湖段
957,(0143)三湖段
958,(0144)四湖段
959,(0146)高埔段
960,(0617)湖東段
961,(0632)新二湖段
962,(0633)新鴨南段
963,(0635)新高埔段
964,(0641)新五湖段
965,(0141)鴨母坑段
966,(0640)槺榔埔段
967,(0080)上庄段
968,(0008)大坪林段
969,(0090)大埔園段
970,(0045)山下段
971,(0901)中角段
972,(0081)水廠段
973,(0042)西坪段
974,(0004)卓蘭段
975,(0079)明德段
976,(0900)昭永段
977,(0044)苗豐段
978,(0096)食水坑段
979,(0088)埔尾段
980,(0078)神明段
981,(0911)景山段
982,(0005)新厝段
983,(0082)新庄段
984,(0094)新坪頂段
985,(0095)新橫坑段
986,(0089)酸柑湖段
987,(0077)蔗埔段
988,(0043)豐田段
989,(0044)中墩段一小段
990,(0045)中墩段二小段
991,(0046)中墩段三小段
992,(0047)中墩段四小段
993,(0048)中墩段五小段
994,(0049)中墩段六小段
995,(0050)中墩段七小段
996,(0058)中華段一小段
997,(0059)中華段二小段
998,(0060)中華段三小段
999,(0061)中華段四小段
1000,(0062)中華段五小段
1001,(0063)中華段六小段
1002,(0064)中華段七小段
1003,(0031)仁愛段一小段
1004,(0032)仁愛段二小段
1005,(0033)仁愛段三小段
1006,(0034)仁愛段四小段
1007,(0035)仁愛段五小段
1008,(0036)仁愛段六小段
1009,(0037)仁愛段七小段
1010,(0038)平等段一小段
1011,(0039)平等段二小段
1012,(0040)平等段三小段
1013,(0041)平等段四小段
1014,(0042)平等段五小段
1015,(0043)平等段六小段
1016,(0007)自由段一小段
1017,(0008)自由段二小段
1018,(0009)自由段三小段
1019,(0010)自由段四小段
1020,(0011)自由段五小段
1021,(0012)自由段六小段
1022,(0013)自由段七小段
1023,(0026)建國段一小段
1024,(0027)建國段二小段
1025,(0028)建國段三小段
1026,(0029)建國段四小段
1027,(0030)建國段五小段
1028,(0051)柳川段一小段
1029,(0052)柳川段二小段
1030,(0053)柳川段三小段
1031,(0054)柳川段四小段
1032,(0055)柳川段五小段
1033,(0056)柳川段六小段
1034,(0057)柳川段七小段
1035,(0020)重慶段一小段
1036,(0021)重慶段二小段
1037,(0022)重慶段三小段
1038,(0023)重慶段四小段
1039,(0024)重慶段五小段
1040,(0025)重慶段六小段
1041,(0014)綠川段一小段
1042,(0015)綠川段二小段
1043,(0016)綠川段三小段
1044,(0017)綠川段四小段
1045,(0018)綠川段五小段
1046,(0019)綠川段六小段
1047,(0001)繼光段一小段
1048,(0002)繼光段二小段
1049,(0003)繼光段三小段
1050,(0004)繼光段四小段
1051,(0005)繼光段五小段
1052,(0006)繼光段六小段
