說明,文章編號,永久連結,貼文訊息,類型,國家／地區,語言,已發佈,廣告受眾目標設定,like,comment,share
,127628276929_10157246701891930,https://www.facebook.com/cwgroup/posts/10157246701891930,【舞弊、操縱選舉有可能發生在美國大選嗎？】#國際視窗 #美國大選倒數4天  如果想要為所謂的民主做一個壓力測試，那麼大概沒有什麼情境會比2020的美國大選更適合。  《經濟學人》分析，我們有理由對這場選舉的公信力保持樂觀。就大部分情況來說，選舉人制度運作完善。今年的選戰以及新冠病毒大流行甚至還可以讓這個制度更好。怎麼說呢？  🔥不斷更新》美國總統大選動態　一次看搖擺州誰領先 >>https://bit.ly/2Tzfcq2,Link,,,10/30/20, ,33,2,2
,127628276929_10157246774296930,https://www.facebook.com/cwgroup/posts/10157246774296930,#週五追影劇【10部不能錯過的LGBTQ電影】  2020台灣同志大遊行明天即將登場，《天下》精選10部今年推出的LGBTQ好片，期待這些在現實生活中跨越性別期待的人，能夠真正被看見、被了解。  --------------------------------------------- 【給最懂生活的你，歡迎訂閱 Off學電子報】 https://bit.ly/2X9AYSK,Link,,,10/30/20, ,79,1,7
,127628276929_10157246900211930,https://www.facebook.com/cwgroup/posts/10157246900211930,【去中心銀行，人類金融史的最新奇蹟？】  利率、呆帳都能自動調整！資產總額破20億美元的Compound體系，正成為金融史的最新奇蹟。在加密貨幣世界裡，銀行存放款業務，如何做到自動化、去中心化？  - 🔥更多精彩內容，請看最新出刊《不能只有台積電》>> https://bit.ly/31lrYNn,Link,,,10/30/20, ,9,1,
,127628276929_10157246664231930,https://www.facebook.com/cwgroup/posts/10157246664231930,精彩預告｜9m88：在乖孩子的範圍裡，做想做的事 　 「讀這個要幹嘛？」「念這個出來會有工作嗎？」 你曾在求學過程中被問過這類問題嗎？ 　 實踐服裝系第一名畢業的9m88，在踏入服裝產業三個月後，毅然決然放棄原有的生活，重新申請音樂大學，一切看似正向積極，卻也讓她面對質疑。 　 是什麼讓她長出自信，正視自己的熱情，勇敢追求想做的事？ 9m88精采專訪，即將上線。 ---- 立即預購2020教育特刊： https://bit.ly/30A3wra ---- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video 9m88,Video,,,10/30/20, ,49,,7
,127628276929_10157246830531930,https://www.facebook.com/cwgroup/posts/10157246830531930,【民調又低估？專家：「害羞」川粉票數會創新高】 　 4年前失準的民調，這次會比較精準嗎？當年沒有被騙、發現民調有誤的兩位專家是卡普廷（Arie Kapteyn）和卡哈利（Robert Cahaly）。 　 今年，兩人再度相信，民調低估了川普的支持率。 　 從全國來看，如果只問選民自己支持誰，拜登領先川普10個百分點。但當改問「#你認為你的朋友會投給誰」，民調就出現了意想不到的變化……,Link,,,10/30/20, ,107,4,6
,127628276929_10157246796066930,https://www.facebook.com/cwgroup/posts/10157246796066930,【中國未來5年發展　專家持保留態度，唯一機會在哪？ 】 　 由習近平親手操刀的5年計劃，透露中國未來5年的重點政策：在沒有美國技術、外國市場的情況下，中國必須科技自立，並將內需市場變為經濟主力。 　 中美脫鉤勢在必行，中國做得到嗎？多數專家都持保留態度，唯一的機會在哪裡？  - ▌升級《天下》LINE，立享3日網站免費暢讀，再送$100折價券 https://maac.io/1ffB2,Link,,,10/30/20, ,18,2,4
,127628276929_10157246650936930,https://www.facebook.com/cwgroup/posts/10157246650936930,【到底是痣還是癌？黑色素瘤潛藏的致癌危機】  黑色素瘤可以長在皮膚的任何一個部位，外觀可以是扁平表淺的暗色斑塊，也可以是突起的結節腫瘤。它是皮膚癌的一種，可能會擴散到人體其他器官。  透過簡單的ABCDE五點檢查法，及早發現可疑跡象！  📣【訂閱頻道看更多】升級《天下》LINE，即可免費訂閱頻道，掌握健康醫療知識零時差。立即前往>> https://maac.io/1ffCR,Link,,,10/30/20, ,24,1,8
,127628276929_10157246650426930,https://www.facebook.com/cwgroup/posts/10157246650426930,【只要英文好、學歷高就能進外商？】#過來人專業建議 　 某人力銀行的市調顯示：有高達 86% 的人希望有機會可以轉進外商，其中又有 82% 的工作者把美商當成首選。 　 在一窩蜂地跟風追求進外商前，請先花時間想一下：你喜歡怎樣的工作環境？那個地方真的是外商嗎？,Link,,,10/30/20, ,14,,1
,127628276929_10157246650111930,https://www.facebook.com/cwgroup/posts/10157246650111930,從2001年開始舉辦的國家祈禱早餐會，今年首度因為蔡英文總統支持同婚的立場在基督教會間引發爭議，遭籌備方取消。  長期身為基督長老教會信徒的林益仁教授感嘆：「在昨天的消息出來後，我已經確定這樣的禱告會並不是要為了一個合一的國家禱告，而比較像是去迎合某些宗教領袖的政治意識形態而已。更諷刺的是......,Link,,,10/30/20, ,99,24,5
,127628276929_10157245928126930,https://www.facebook.com/cwgroup/posts/10157245928126930,過來人經驗談，別傻傻把錢花在這六個地方，35歲退休，是有可能的？,Link,,,10/30/20, ,59,,24
,127628276929_10157246714201930,https://www.facebook.com/cwgroup/posts/10157246714201930,【揭秘池上秋收為何熱度爆棚】#池上秋收稻穗藝術節 歡迎追蹤 CSR在天下 粉專  台灣好基金會執行長李應平說：「秋收藝術節已經成為池上向國際遞交最美麗的一張名片。」 在500公頃沒有電線杆的黃金稻海而聞名的台東池上，花了20年的時間，讓每年近百萬的遊客爭相到訪。   這群人如何造就今日池上的寶貴價值？花了時間醞釀再度發亮？  ▲【立即訂閱「CSR@天下」電子報】http://bit.ly/2vcwNGv  #池上 #林懷民 #池上秋收稻穗藝術節 #地方創生 #台灣好基金會 #池上鄉文化藝術協會 #雲門舞集 #陳建年 #齊豫 #黃金稻田 #穀倉 #蔣勳,Link,,,10/30/20, ,51,,2
,127628276929_10157240564766930,https://www.facebook.com/cwgroup/posts/10157240564766930,#廣編企劃 【退休生活怎麼過？ #30而已 後，你該知道的基金攻略】 「30而已」，是今年網路熱門關鍵字，不少人喜歡在社群上使用，表示自己心態仍年輕，還在尋找與學習人生最重要的目標。  但躲在這四個字背後的網友，可能實際年齡已經來到40、50歲，很快就會面臨每個現代上班族都會遇到的現實問題---「退休生活怎麼過？」  退休生活的目標該如何設定？你準備好充裕的退休金了嗎？  #投資 #理財 #目標日期基金 #退休 #富蘭克林華美投信,Link,,,10/30/20, ,10,2,2
,127628276929_10157246648336930,https://www.facebook.com/cwgroup/posts/10157246648336930,【去年有2497人死於此癌症】 未來城市FutureCity 「癌王」的別名，因無早期症狀，確診時多半已經不能積極治療，五年存活率僅7.7%，去年共2497人死於胰臟癌。  台大醫院胃腸肝膽科主治醫師廖偉智團隊成功開發世界首創「人工智慧偵測模型」，存活率提升逾十倍！  他怎麼做的？  #未來城市 #智慧城市  #智慧醫療 #台大醫院 #癌症 #胰臟癌 #AI #AI醫療 #腫瘤 #AI醫療影像,Link,,,10/30/20, ,279,4,36
,127628276929_10157244698101930,https://www.facebook.com/cwgroup/posts/10157244698101930,【教改挑戰清單－108課綱上路一周年，你了解了多少？】  108課綱上路一周年，各界聲浪不斷，家長擔心孩子的升學管道，學生擔心變化的考試制度，老師擔心素養課程該如何規劃，眾多的擔心與煩惱成為108課綱的代名詞。  教育現場發生了什麼改變，又該如何真正落實？這些問題，你真的了解了嗎？《天下》為您整理108課綱基礎概念 ，透過文章深入了解教育現場>>  閱讀完整文章>>https://bit.ly/34zWfZE  #108課綱 #素養教育 #2020天下教育特刊 #11月正式出刊 #現正預購中,Link,,,10/30/20, ,17,3,7
,127628276929_10157244644911930,https://www.facebook.com/cwgroup/posts/10157244644911930,◤化危機為轉機 這樣做打造企業免疫力◢ 在高度競爭的時代下，危機處理成為企業相當重要的課題之一，企業如何將危機化為轉機？把握這決勝四大重點就對了！ --- 🎬 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc --- 🎬填問卷送「天下全閱讀」一個月： >>https://bit.ly/3oEB5Cz,Link,,,10/30/20, ,6,,
,127628276929_10157246386856930,https://www.facebook.com/cwgroup/posts/10157246386856930,【失親的悲傷失落　可能會持續幾個月好幾年】 　 「是的，媽媽真的離開了」、「她不會再回來了」......  當照顧者的親人離世，一方面處在悲傷失落的狀態，另一方面生活重心突然被抽空而可能感到不知所措。  若是還要重新回到不熟悉的工作職場，更會對未知的環境產生焦慮與不安。,Link,,,10/29/20, ,52,4,15
,127628276929_10157246404116930,https://www.facebook.com/cwgroup/posts/10157246404116930,【中年體重上升，是因為你沒做這些事】   過了40歲之後，要維持健康一年比一年難。新陳代謝變慢，加上活動量少、壓力大，不是你做了什麼，而是你沒做什麼，讓體重靜悄悄上升。  一位醫學博士在Web MD的專欄寫下自己40歲過後，維持身材的困擾，與有效的改變方法，不妨嘗試看看！,Link,,,10/29/20, ,86,6,41
,127628276929_10157246436876930,https://www.facebook.com/cwgroup/posts/10157246436876930,【防房市泡沫，央行暗示隨時打房？】  房市今年不受疫情影響，買氣持續增溫，央行副總裁陳南光曾指出，房價持續上漲將對台灣資源配置造成扭曲，更損及長期經濟與生產力。  在昨天的理監事會議上多數理事認為，央行應持續監控房價變化，並討論實施選擇性信用管制的相關參考指標。  🔥免費訂閱《天下電子報》，每日關鍵新聞不漏接 >> https://bit.ly/3gezkXB,Link,,,10/29/20, ,69,5,10
,127628276929_10157240563486930,https://www.facebook.com/cwgroup/posts/10157240563486930,#廣編企劃 【外送「女力」崛起：安全，才有真平權】  雖然職業不分性別、不分貴賤，但若打開門的那一刻， 發現提著外送餐盒的是一張女性臉孔，你是否也曾不經意閃過一絲詫異的神情？  #外送 #foodpanda #女性 #女性就業 #外送員,Link,,,10/29/20, ,38,1,1
,127628276929_10157246226271930,https://www.facebook.com/cwgroup/posts/10157246226271930,【因為一場疫情，卻意外讓全球的「女力」都崛起】  同樣面對病毒的全面侵襲，女性領導的國家都表現優異，不約而同有效控制疫情和死亡案例，包括台灣總統蔡英文、紐西蘭總理阿爾登、德國總理梅克爾、丹麥總理梅特及芬蘭總理馬林等。這背後原因是？  🔥更多精彩內容，請看《不能只有台積電》 https://bit.ly/31lrYNn,Link,,,10/29/20, ,84,3,4
,127628276929_10157246261311930,https://www.facebook.com/cwgroup/posts/10157246261311930,"【到西藏做田調、非洲教課，學生們如何達成？】  108課第二年，關於自主學習與學習歷程檔案依舊是很紅的議題。  成大不分系透過學生自行發想專案題目，從金融科技、社區營造，也有創立中國回台學生社群、甚至是到西藏一年做田野調查並寫一本書的計劃。這樣的安排培養出學生什麼樣的能力？  👉108課綱上路一周年你了解多少? 重點整理回顧>> https://bit.ly/34zWfZE 👉立即預購2020教育特刊>> https://bit.ly/30A3wra""",Link,,,10/29/20, ,14,1,4
,127628276929_10157244864736930,https://www.facebook.com/cwgroup/posts/10157244864736930,【無聲之下，受害者如何成為加害者】 　 入圍本屆金馬獎8項提名、探討群體校園霸凌的電影《#無聲》，鉅細地描繪了封閉環境裡，性侵害是怎樣無聲地「被允許」發生，又怎樣讓每個身處其中的人，都可能變成加害者。 　 #本文不做劇情暴雷，而是探討性侵受害者是怎麼走向加害者之路、以及如何聽懂孩子的求救訊號…↘️,Link,,,10/29/20, ,19,3,3
,127628276929_10157246214491930,https://www.facebook.com/cwgroup/posts/10157246214491930,【病毒、穆斯林仇恨，法國怎麼了？】  法國最近相當不平靜，除了因為疫情再度封城外，驚傳尼斯教堂附近恐攻，導致3人死亡。該國也因此提升全國警戒至最高級別。人類終究可以靠疫苗戰勝新冠病毒，但亙古存在的仇恨如何能解？  【加入《天下》Telegram ，每日早晨直送國內外重要新聞】點擊連結👉 http://t.me/cwmagazine,Link,,,10/29/20, ,125,24,10
,127628276929_10157244964481930,https://www.facebook.com/cwgroup/posts/10157244964481930,#企業突圍【8個家族、350年歷史　龜甲萬醬油不分裂的秘訣是什麼？】 　 家族企業鬧分家，往往會陷入競爭關係，但龜甲萬這間百年企業，卻能在8個家族的共治之下，維持不敗的凝聚力。 　 身為市值1.24兆日圓的上市公司，龜甲萬的傳承策略是什麼？在龐大的利益下，家族間又有什麼「不成文的規定」？  - 🔥訂閱「#企業突圍電子報」，立即掌握最新產業趨勢、經營管理心法 >> https://bit.ly/2LnMp3F,Link,,,10/29/20, ,26,2,3
,127628276929_10157245900916930,https://www.facebook.com/cwgroup/posts/10157245900916930,#今日熱文【特斯拉以後充電有多快？這家老牌釘書機廠最先知道】 　 「SDI手牌」釘書機是位在彰化的順德工業最廣為人知的產品，不過歷經三代轉型，已經不只是文具製造商，更是全球功率半導體導線架龍頭。這家67歲老企業是如何從一家鐵工廠做到變成特斯拉供應商？ 　 【加入《天下》Telegram ，每日早晨直送國內外重要新聞】 點擊連結👉 http://t.me/cwmagazine,Link,,,10/29/20, ,346,14,43
,127628276929_10157245904641930,https://www.facebook.com/cwgroup/posts/10157245904641930,推案金額是第2名的3倍，神祕建商龍頭寶佳一週蓋一樓、每坪單價硬是低上萬元，圓了70萬人的首購夢——但卻是一場噩夢？  一篇論文揭祕,Link,,,10/29/20, ,1229,180,227
,127628276929_10157245855871930,https://www.facebook.com/cwgroup/posts/10157245855871930,＃天下晨間新聞　  美國科技巨擘財報熱燙燙出爐，表現不差，但怎麼股價都在盤後往下掉？聯電擺脫官司，逃出中美科技戰場！,Link,,,10/29/20, ,13,,
,127628276929_10157242345771930,https://www.facebook.com/cwgroup/posts/10157242345771930,【為何台積可以越過台電，直接跟產地買綠電？3個原因一次看】  綠電自由化終於開花結果，台灣第一度「產地直送」的綠電，已傳輸到台積電。業界透露，來源正是位在嘉義鹽灘地的台灣艾貴義竹電廠。這對台灣綠電產業的未來發展，會有什麼影響？,Link,,,10/29/20, ,198,6,17
,127628276929_10157242340251930,https://www.facebook.com/cwgroup/posts/10157242340251930,【沒有台灣電池，特斯拉交不了車　92歲石化業「鐵人」林書鴻專訪】  台中到美國內華達，竟然有一條鋰電池銅箔快運線，平均2天就得運一批到北美，供應世界最大電動車用戶。長春集團總裁林書鴻投入鋰電池銅箔研發長達8年，終於開發出能打入全球前5大鋰電池供應商的祕密武器。《天下》專訪這位石化業鐵人，探究他的經營心法，以及台灣在電動車市場的機會。,Link,,,10/29/20, ,113,7,10
,127628276929_10157244888666930,https://www.facebook.com/cwgroup/posts/10157244888666930,【炎亞綸：對自己誠實才是最重要的事】 #對該說的事情說話_才是公眾人物應該發揮魅力的地方。 　 環境、性別、勞動權益…，這些藝人們避之唯恐不及的政治議題，卻是炎亞綸的臉書日常，從不避諱敏感議題，常常情緒一來就忍不住發言，藏不住話的個性，雖為他招致了一些困難，卻也讓他磨出獨特樣態。 　 從團體中較不起眼的小弟弟，跌跌撞撞，終於演到男主角，卻又因為批評電視台血汗，直接遭到平台封殺。 　 這一路走來的心路歷程，炎亞綸說他已經可以自然且坦然地面對，因為對自己誠實才是最重要的事。 --- 訂閱天下雜誌youtube，看盡天下事： >>https://bit.ly/3gR6jCc 　 #天下雜誌video,Video,,,10/29/20, ,206,7,24
,127628276929_10157243569961930,https://www.facebook.com/cwgroup/posts/10157243569961930,【大人的成熟指標──善於獨處，也樂在相處】  你毋須取悅任何一個人，但也不要看誰都不順眼。  若是你的年紀愈活愈大，在人際關係中依然不斷衝撞，把人生的道路愈走愈窄。,Link,,,10/29/20, ,4252,36,662
,127628276929_10157244888201930,https://www.facebook.com/cwgroup/posts/10157244888201930,#夜間輕讀【孤獨讓人成長，退休後也要熱情地生活】  「人的出生有三次，第一次是離開母親的子宮，第二物是脫離父母思想的青春叛逆期，第三次便是學會進出孤獨！」  如何面對退休後的空虛感，創造屬於自己的退休生活？王浩一說，退休的人更要懂得自律，在自我認識的過程中得到自信，在交朋友的過程中得到知識，進而成為重要的生命強度養分。  -- ▌升級《天下》LINE，立享3日網站免費暢讀，再送$100折價券 https://maac.io/1ffB2,Link,,,10/29/20, ,4207,48,632
,127628276929_10157244304546930,https://www.facebook.com/cwgroup/posts/10157244304546930,【愛了錯的人，怎麼愛，都是蹉跎，練習勇敢地離開】  排隊的時候，也許你該練習中途放棄，感情也是這樣。很多時候，不情願排隊的時間就這樣浪費，所以寧可在隊伍中繼續浪費自己。  這是人性，我們都厭惡花費時間而什麼都得不到，何況是你用漫長時光投注的人，無論是友誼還是愛情...  🔥免費訂閱《天下電子報》，每日關鍵新聞不漏接 >> https://bit.ly/3gezkXB,Link,,,10/29/20, ,202,4,66
