sect,number,County,Town,Village,Latitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
南廍段,976,臺南市,官田區,南[廓],23.22528,120.30993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
巷口段一小段,1582,臺南市,將軍區,仁和里,23.22563,120.31072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後港段,915,臺南市,七股區,大潭里,23.23325,120.15582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後鎮段,2108,臺南市,新營區,護鎮里,23.19378,120.13709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後鎮段,673-18,臺南市,新營區,護鎮里,23.32034,120.28396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後鎮段,676-5,臺南市,新營區,護鎮里,23.32049,120.28247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
看西段,940-6,臺南市,新市區,南關里,23.10674,120.25501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茄拔段二小段,619,臺南市,善化區,嘉南里,23.12998,120.33065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崁子頭段,457-1,臺南市,白河區,崁頭里,23.33193,120.42484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
崁子頭段,459,臺南市,白河區,崁頭里,23.33126,120.42457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,190,臺南市,麻豆區,海埔里,23.20587,120.22178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,198,臺南市,麻豆區,北勢里,23.20587,120.22308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,282,臺南市,麻豆區,海埔里,23.26182,120.24178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,296-1,臺南市,麻豆區,海埔里,23.20408,120.21965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,296,臺南市,麻豆區,海埔里,23.20465,120.21984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海埤段,341,臺南市,麻豆區,海埔里,23.20494,120.22044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湖山段,1237,臺南市,官田區,湖山里,23.21129,120.34528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密枝段,102-55,臺南市,楠西區,密枝里,23.21795,120.49851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
密枝段,102-70,臺南市,楠西區,密枝里,23.21916,120.49868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頂秀祐段,321,臺南市,白河區,秀祐里,23.35567,120.41193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頂秀祐段,456,臺南市,白河區,秀祐里,23.35599,120.40398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
頂秀祐段,489,臺南市,白河區,秀祐里,23.35398,120.40714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻豆寮段,1880,臺南市,下營區,賀建里,23.35621,120.39896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麻豆寮段,2043,臺南市,下營區,賀建里,23.26096,120.2901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
善化段,2172,臺南市,安定區,蘇林里,23.10835,120.25993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡子頭段,119,臺南市,北門區,錦湖里,23.30371,120.14874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡子頭段,365-21,臺南市,北門區,錦湖里,23.28938,120.1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡子頭段,365-22,臺南市,北門區,錦湖裡,23.28967,120.17102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡子頭段,365-6,臺南市,北門區,錦湖里,23.28895,120.17063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
渡子頭段,498-35,臺南市,北門區,錦湖里,23.28962,120.17093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
番子渡頭段,313,臺南市,官田區,渡頭里,23.25564,120.26297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
菁埔段,1128-1,臺南市,六甲區,菁埔里,23.23256,120.30055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飯店段,2715,臺南市,鹽水區,飯店里,23.27803,120.21724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飯店段,999-4,臺南市,鹽水區,飯店里,23.00455,120.21926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新秀才段,940,臺南市,新營區,鐵線里,23.26374,120.26435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新晶段,42,臺南市,新市區,豐華里,23.09507,120.25335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新晶段,42,臺南市,新市區,豐華里,23.09507,120.25335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新晶段,76,臺南市,新市區,豐華里,23.09654,120.26723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段二重港小段,199-18,臺南市,北門區,中樞里,23.25046,120.12598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段二重港小段,207-4,臺南市,北門區,中樞里,23.25131,120.12634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段二重港小段,357,臺南市,北門區,仁里里,23.2502,120.12354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段二重港小段,687-2,臺南市,北門區,中樞里,23.2433,120.13768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段二重港小段,88,臺南市,北門區,仁里里,23.24706,120.13638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪底寮段三寮灣小段,405,臺南市,北門區,三光里,23.23044,120.1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪洲子寮段,267-82,臺南市,學甲區,三慶里,23.28993,120.18493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
溪洲子寮段,503,臺南市,學甲區,三慶里,23.28804,120.18952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
義士段,51,臺南市,柳營區,大農里,23.28481,120.35799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉安段,278,臺南市,後壁區,嘉田里,23.40187,120.37898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉安段,250,臺南市,後壁區,嘉田里,23.40148,120.38044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉安段,605,臺南市,後壁區,崁頂里,23.39758,120.37599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉安段,607,臺南市,後壁區,崁頂里,23.39787,120.37518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漚汪段西甲小段,1079,臺南市,將軍區,西和里,23.28836,120.19005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
漚汪段西甲小段,1881,臺南市,將軍區,西和里,23.19463,120.14184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福安段,1499,臺南市,後壁區,福安里,23.31828,120.35375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福安段,1504,臺南市,後壁區,福安里,23.31735,120.35284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德元段,244,臺南市,柳營區,大農里,23.26999,120.35204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
德隆段,304-1,臺南市,新營區,舊[廓],23.04269,120.33919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潭頂段,403,臺南市,新市區,潭頂里,23.07837,120.33278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潭頂段,403-1,臺南市,新市區,潭頂里,23.07803,120.33311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
潭頂段,404,臺南市,新市區,潭頂里,23.07909,120.33368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學甲段,323-3,臺南市,學甲區,三慶里,23.23089,120.11978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學甲段,382-2,臺南市,學甲區,光華里,23.27098,120.17053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學甲段,704-10,臺南市,學甲區,秀昌里,23.24981,120.17709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學甲段,851-4,臺南市,學甲區,秀昌里,23.24478,120.18094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
學甲寮段,255-106,臺南市,學甲區,平和里,23.25859,120.21198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
篤加段,151-61,臺南市,七股區,篤加里,23.15807,120.13908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新篤加段,354,臺南市,七股區,篤加里,23.1611,120.14143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
篤加段,63,臺南市,七股區,篤加里,23.15738,120.15432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
礁坑子段,841-1,臺南市,新化區,礁坑里,23.0422,120.33883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舊埕段,700-1,臺南市,北門區,永華里,23.2589,120.21246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舊埕段,722-1,臺南市,北門區,永華里,23.25605,120.11813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
舊埕段,840,臺南市,北門區,永華里,23.25693,120.12213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
麗湖段,782,臺南市,北門區,玉港里,23.25663,120.11938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
𦬬萊宅段,84,臺南市,楠西區,照興里,23.19909,120.47901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
𦬬萊宅段,84,臺南市,楠西區,照興里,23.19909,120.47901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
